h;d;av;author;year;manuscript;experiment;d_type;jod_type;stim_type;att_type;vpnr;value;stim_id;Beding;unique_id;id
2;16;jof;Winkler;2009;1;2;total;total;word;low;19;4,50;NA;NA;Winkler 2009 1 2 19;666
2;16;jof;Winkler;2009;1;2;total;total;word;low;20;3,75;NA;NA;Winkler 2009 1 2 20;668
2;16;jof;Winkler;2009;1;2;total;total;word;low;21;2,75;NA;NA;Winkler 2009 1 2 21;669
2;16;jof;Winkler;2009;1;2;total;total;word;low;22;3,50;NA;NA;Winkler 2009 1 2 22;670
2;16;jof;Winkler;2009;1;2;total;total;word;low;23;2,75;NA;NA;Winkler 2009 1 2 23;671
2;16;jof;Winkler;2009;1;2;total;total;word;low;24;2,75;NA;NA;Winkler 2009 1 2 24;672
2;16;jof;Winkler;2009;1;2;total;total;word;low;25;1,75;NA;NA;Winkler 2009 1 2 25;673
2;16;jof;Winkler;2009;1;2;total;total;word;low;26;3,25;NA;NA;Winkler 2009 1 2 26;674
2;16;jof;Winkler;2009;1;2;total;total;word;low;27;1,75;NA;NA;Winkler 2009 1 2 27;675
2;16;jof;Winkler;2009;1;2;total;total;word;low;28;2,00;NA;NA;Winkler 2009 1 2 28;676
2;16;jof;Winkler;2009;1;2;total;total;word;low;29;2,25;NA;NA;Winkler 2009 1 2 29;677
2;16;jof;Winkler;2009;1;2;total;total;word;low;30;2,00;NA;NA;Winkler 2009 1 2 30;679
2;16;jof;Winkler;2009;1;2;total;total;word;low;31;3,00;NA;NA;Winkler 2009 1 2 31;680
2;16;jof;Winkler;2009;1;2;total;total;word;low;32;3,25;NA;NA;Winkler 2009 1 2 32;681
2;16;jof;Winkler;2009;1;2;total;total;word;low;33;2,00;NA;NA;Winkler 2009 1 2 33;682
2;16;jof;Winkler;2009;1;2;total;total;word;low;34;1,75;NA;NA;Winkler 2009 1 2 34;683
2;16;jof;Winkler;2009;1;2;total;total;word;low;35;2,75;NA;NA;Winkler 2009 1 2 35;684
2;16;jof;Winkler;2009;1;2;total;total;word;low;36;2,25;NA;NA;Winkler 2009 1 2 36;685
2;16;jof;Winkler;2009;1;2;total;total;word;low;37;2,25;NA;NA;Winkler 2009 1 2 37;686
2;16;jof;Winkler;2009;1;2;total;total;word;low;38;3,50;NA;NA;Winkler 2009 1 2 38;687
2;16;jof;Winkler;2009;1;2;total;total;word;low;39;4,00;NA;NA;Winkler 2009 1 2 39;688
2;16;jof;Winkler;2009;1;2;total;total;word;low;40;2,00;NA;NA;Winkler 2009 1 2 40;690
2;16;jof;Winkler;2009;1;2;total;total;word;low;41;3,50;NA;NA;Winkler 2009 1 2 41;691
2;16;jof;Winkler;2009;1;2;total;total;word;low;42;1,75;NA;NA;Winkler 2009 1 2 42;692
2;16;jof;Winkler;2009;1;2;total;total;word;high;43;6,00;NA;NA;Winkler 2009 1 2 43;693
2;16;jof;Winkler;2009;1;2;total;total;word;high;44;3,00;NA;NA;Winkler 2009 1 2 44;694
2;16;jof;Winkler;2009;1;2;total;total;word;high;45;3,00;NA;NA;Winkler 2009 1 2 45;695
2;16;jof;Winkler;2009;1;2;total;total;word;high;46;3,00;NA;NA;Winkler 2009 1 2 46;696
2;16;jof;Winkler;2009;1;2;total;total;word;high;47;3,00;NA;NA;Winkler 2009 1 2 47;697
2;16;jof;Winkler;2009;1;2;total;total;word;high;48;4,00;NA;NA;Winkler 2009 1 2 48;698
2;16;jof;Winkler;2009;1;2;total;total;word;high;49;5,00;NA;NA;Winkler 2009 1 2 49;699
